Timestamp,Step,Input Tokens (Prompt),Output Tokens (Risposta),Total Tokens
2026-04-19 16:44:36,Router (Topic Extraction),668,14,682
2026-04-19 16:44:39,Generator (Main RAG),486,205,691
2026-04-19 16:46:11,Router (Topic Extraction),661,25,686
2026-04-19 16:46:14,Generator (Main RAG),1240,100,1340
2026-04-19 17:03:17,Generator (Main RAG),455,268,723
2026-04-19 17:03:52,Generator (Main RAG),733,109,842
2026-04-19 17:04:19,Generator (Main RAG),851,442,2182
2026-04-19 17:05:25,Generator (Main RAG),1269,606,3183
2026-04-19 17:05:53,Generator (Main RAG),1844,427,4145
2026-04-19 17:18:17,Router (Topic Extraction),739,10,749
2026-04-19 17:18:19,Generator (Main RAG),522,135,657
2026-04-19 17:19:13,Router (Topic Extraction),737,10,747
2026-04-19 17:19:20,Generator (Main RAG),665,124,789
2026-04-19 17:20:10,Router (Topic Extraction),745,10,755
2026-04-19 17:20:11,Generator (Main RAG),811,95,906
2026-04-19 17:20:33,Router (Topic Extraction),732,10,744
2026-04-20 11:20:20,Generator (Main RAG),491,55,546
2026-04-20 11:20:55,Generator (Main RAG),526,119,1202
2026-04-20 11:21:40,Generator (Main RAG),638,176,814
2026-04-20 11:22:16,Generator (Main RAG),619,146,765
2026-04-20 11:22:42,Generator (Main RAG),796,104,1718
2026-04-20 11:25:56,Router (Topic Extraction),740,3,743
2026-04-20 11:26:00,Generator (Main RAG),324,42,366
2026-04-20 11:27:37,Router (Topic Extraction),729,6,735
2026-04-20 11:27:43,Generator (Main RAG),526,289,1360
2026-04-20 11:28:25,Router (Topic Extraction),729,3,732
2026-04-20 11:28:30,Generator (Main RAG),654,150,1481
2026-04-20 11:33:52,Router (Topic Extraction),731,3,734
2026-04-20 11:33:57,Generator (Main RAG),780,146,926
2026-04-20 13:36:45,Router (Topic Extraction),837,4,843
2026-04-20 13:36:47,Generator (Main RAG),340,47,387
2026-04-20 13:39:23,Router (Topic Extraction),840,9,2244
2026-04-20 13:39:29,Generator (Main RAG),342,120,643
2026-04-20 13:39:51,Router (Topic Extraction),829,4,933
2026-04-20 13:48:13,Generator (Main RAG),304,109,544
2026-04-20 15:09:42,Router (Topic Extraction),925,3,974
2026-04-20 15:09:48,Generator (Main RAG),318,90,506
2026-04-20 15:10:30,Router (Topic Extraction),926,3,1074
2026-04-20 15:10:36,Generator (Main RAG),421,82,708
2026-04-20 15:11:22,Router (Topic Extraction),915,3,1014
2026-04-20 16:01:38,Generator (NAIVE RAG - Full DB),22681,102,22783
